,PL1_1,PL1_2,PL1_3,PL2_2,PL2_3,PL2_1,DIFF_cls,DIFF_pts,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
21969,1.0,1.0,0.0,0.0,0.0,0.0,-0.2275523945407472,0.6954772715799851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35736,1.0,1.0,0.0,0.0,0.0,0.0,-0.14392375702545981,0.3117035439982835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5877,1.0,1.0,0.0,0.0,0.0,0.0,-0.24256266281272182,-1.3513159421890901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45469,1.0,1.0,0.0,1.0,0.0,0.0,-0.05118174234504496,1.3351001508828213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17051,0.0,0.0,0.0,0.0,0.0,1.0,0.2275523945407472,-1.718873878464523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30769,1.0,1.0,0.0,0.0,0.0,0.0,-0.2275523945407472,0.3117035439982835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57183,1.0,1.0,0.0,0.0,0.0,0.0,0.519208451989992,-1.3513159421890901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5928,1.0,0.0,0.0,0.0,0.0,0.0,-0.05868687648103229,-0.8396176387468215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57309,0.0,1.0,0.0,0.0,0.0,1.0,-0.6398266791755026,2.2467879732130607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24235,1.0,1.0,0.0,0.0,0.0,0.0,0.667166810670885,0.4396281198588507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39466,1.0,0.0,0.0,0.0,0.0,0.0,-0.2275523945407472,-0.8396176387468215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
